method,mse,centered_mse,bias_mse,row_rmse,mae,cosine,plate_orthogonal_mse,plate_orthogonal_cosine,mean_reciprocal_rank,retrieval_top1
stack_separated,0.23303781461232395,0.19139006364565936,0.0416477509666645,0.44315351586914076,0.3189791391015657,0.27277944609109483,0.1565720452972882,0.38059693925971483,0.49833981198899674,0.3547546678245766
gene_slope_separated,0.23729396493598454,0.18930194037307668,0.0479920245629078,0.4484993612044789,0.32169166230690704,0.2774429598173007,0.1553177952937589,0.3889205467303105,0.5695773264303443,0.43942683456361264
gene_slope_same,0.23729396493598454,0.18930194037307668,0.0479920245629078,0.4484993612044789,0.32169166230690704,0.2774429598173007,0.1553177952937589,0.3889205467303105,0.5695773264303443,0.43942683456361264
stack_same,0.2375965213235499,0.1921766006538963,0.0454199206696535,0.44663708611058184,0.32137237819738934,0.26186860016267777,0.15617231830298875,0.3874524077446866,0.47321653907528316,0.3343465045592705
shared_slopes,0.23807655903221625,0.18992921897978599,0.048147340052430154,0.449310554987774,0.32213017368398034,0.27428144373555363,0.1558760501387108,0.3849084726375406,0.5703632514781016,0.42878853669127226
zs_shuffled_gate,0.2453538309494302,0.20708805421170595,0.0382657767377242,0.44491870652295784,0.31757921215687723,0.2023127394036502,0.16985128449127684,0.283832392355945,0.1963739821011368,0.11441597915762045
zs_baseline_gate,0.2472974584732095,0.20869236796934204,0.03860509050386745,0.4465297549380264,0.31923102086928745,0.19564427662463446,0.17099082908902924,0.27756870377460513,0.18045944316902524,0.1042118975249674
zs_calibrated,0.2475022320561194,0.20889195950838946,0.03861027254772985,0.4462882286769371,0.3189161254720311,0.19929074696310206,0.1711124890846875,0.28051999566102187,0.17248750108454214,0.093573599652627
zero,0.2669353459454291,0.2252561338370391,0.04167921210839,0.4588196551293976,0.32671942310915225,0.0,0.18390641800641486,0.0,0.09291855821673714,0.02084237950499345
direct_krr_separated,0.27358990280329776,0.2170138278068645,0.05657607499643325,0.4774021566776292,0.3446112479656367,0.1603748443222996,0.17303302561833128,0.24516888819868277,0.18086697726709894,0.05232305688232736
direct_krr_same,0.2753130384101408,0.2181307827311902,0.05718225567895065,0.4787918557845656,0.3455558931286617,0.16022914226192192,0.17300273856240905,0.24318274679037225,0.18112771195447636,0.05232305688232736
source_mean,0.33184429893683853,0.28557028427271175,0.046274014664126756,0.54608500782769,0.39392525469646683,0.19929074696310206,0.23954274702832778,0.2805199956610219,0.5005702713001716,0.3853669127225358
residual_krr_separated,0.33532495133637785,0.2794016409704926,0.0559233103658853,0.5508785953093288,0.3977438013104706,0.22527001009244113,0.23783451615787266,0.2923447343933626,0.512166533652096,0.365392965696917
residual_krr_same,0.3389156373138458,0.28176013796109095,0.05715549935275485,0.554390145262267,0.40054191691193675,0.2225412631156565,0.23904342152499447,0.2953437198033117,0.5068157757785736,0.365392965696917
source_offset,0.34210545198655773,0.28557028427271175,0.056535167713845896,0.5574535692275698,0.4026428745642136,0.2204870234912436,0.23954274702832778,0.2805199956610219,0.5199384437389214,0.3751628310898828
